28053	100113	1358726400	JTSM 2013
37690	100114	1400889600	CRYPIS  2014
28464	100115	1366329600	ICCAS 2013
42657	100116	1418774400	BIOE 2015
22574	307	1339545600	BIRTE 2012
11153	100117	1291507200	Singapore 2011
8862	2077	1273190400	MLG 2010
4719	100118	1235088000	WeGovS 2009
8266	100119	1268611200	TWBIL 2010
15354	1755	1312070400	ISSPIT 2011
26010	100120	1350259200	IJMRT 2012
31629	100121	1373500800	IJER 2013
8123	100122	1273276800	INDUSCON 2010
19128	100123	1325808000	IEA/AIE.DMCIDFIA 2012
42553	100124	1419552000	ICACET 2015
30759	100125	1379635200	ISCIT 2013
26069	100126	1355529600	PerCom Ph.D. Forum 2013
5604	1979	1245024000	LSDS-IR 2009
12511	100127	1276905600	SIAM SDM'11 Contest 2011
32427	100128	1383091200	Business Fiction 2013
4998	100129	1235865600	IMCSS 2009
15398	100130	1304208000	Culture and Computing 2011
28757	100131	1360454400	IJWMN 2013
6679	100132	1256515200	WCMB 2009
1099	100133	1189814400	ACC 2008
13344	100134	1318204800	ICBBBCB  2011
37498	100135	1401580800	ATNAC 2014
22119	2281	1339718400	OzCHI 2012
26325	100136	1354233600	ICAC2ET 2013
18934	100137	1321574400	PTRS 2012
38361	100036	1425686400	WCMCS 2014
33918	100138	1395360000	WASSA 2014
39399	100139	1402012800	ITARC  2014
42092	100140	1401840000	Special Issue of  Springer IJPP 2015
35079	100141	1390089600	LET 2014
22775	100142	1337904000	MDWE 2012
43046	100143	1423612800	COOS 2015
28558	100144	1356652800	BUSTECH  2013
36095	100145	1402790400	ICEIM 2014
34365	100146	1418688000	CAIJ 2014
9327	100147	1273881600	YAH2 2010
42556	100148	1422144000	TheSciProbe 2015
7682	1272	1264377600	ICADL 2010
43090	100149	1394496000	TTC 2015
5147	2122	1248048000	MoMM 2009
34919	100150	1393545600	ICEAS 2014
14552	100151	1304035200	IAR 2011
1744	100152	1194220800	DBDBD 2007
25591	100153	1360454400	OWEMI 2013
14008	1424	1326585600	ICMR 2012
35915	100154	1401580800	SASB 2014
10142	100155	1279152000	KIELD 2010
9941	100156	1289779200	ELECTRIMACS 2011
29236	100157	1367280000	HyTra 2013
546	100158	1180137600	WLD fro WFB 2007
40140	1195	1421625600	HIS 2015
5745	2316	1247443200	PAVLAD 2009
8330	100159	1266796800	MultiLR 2010
3288	100160	1222387200	IET CVI 3D SI 2008
12250	100161	1299456000	IWSSIP 2011
14386	100162	1302825600	SIG-ML 2011
4109	100163	1241136000	IJICTE - Libraries Issue 2009
39807	100164	1412467200	ICCEeT  2014
3796	100165	1229644800	LaTeCH - SHELT&R 2009
36278	100166	1397952000	IoT-CIST 2014
34071	100167	1388966400	iEMSs 2014
28632	100168	1364601600	SecSE 2013
40046	100169	1416009600	ICIT 2015
36727	100170	1395360000	CSEIT 2014
12204	100171	1290297600	Archiving 2011
20074	100172	1324598400	ITEC 2012
16849	19	1309219200	ACAL 2011
35962	100173	1392422400	Call for Chapters:  2014
9368	100174	1272758400	EnA-HPC 2010
34870	100175	1392163200	GamifIR 2014
14472	100176	1301875200	WPRRS 2011
42496	967	1423180800	Euro-Par 2015
19827	100177	1338336000	ICITIS 2012
27463	100178	1365552000	IJAMSE 2013
40255	100179	1419984000	ACR 2014
12284	99	1302393600	AICI 2011
19388	100180	1331769600	CIMSA 2012
12219	100181	1297987200	ISPH 2011
38441	100182	1406678400	MTEL 2014
26719	3181	1335312000	WWV 2012
10010	3158	1280620800	WSDM 2011
40378	390	1413763200	CCIW 2015
24117	100183	1340582400	IJGCA 2012
2817	1331	1182902400	ICDE 2008
33462	100184	1389744000	SDEWES 2014
5969	1365	1248048000	ICFEM  2009
27113	100185	1354665600	IJITCS 2012
22677	100186	1341878400	WM 2012
39398	100187	1410739200	USID 2014
32512	100188	1380585600	IIT 2013
9472	100189	1278892800	ISVC 2010
7877	100190	1271289600	ECEL 2010
41433	100191	1425859200	IS 2015
14996	100192	1300406400	SGOC 2011
38552	100193	1402790400	IEEE SSCI 2014
12162	100194	1290643200	ICFEE 2011
27553	100195	1360886400	IGCC 2013
15574	100196	1302825600	Economics and Finance Conference 2011
38116	100197	1402790400	MISNC 2014
11275	100198	1289779200	ICOSST 2010
7035	100199	1265241600	3IA 2010
16660	100200	1328054400	ECMS 2012
36091	100201	1393286400	SoMoEngage 2014
21221	100202	1330128000	VLSICS  2012
4283	100203	1232150400	HUMSEC Journal 2009
42282	2948	1430697600	VISSOFT 2015
33598	100204	1394064000	WCE 2014
3729	100205	1225411200	MOUND 2009
27011	100206	1353801600	2012 2013
5690	100207	1249862400	ASPLOS XV 2010
15216	100208	1302134400	IPIN 2011
5600	100209	1244160000	WiNTECH 2009
2493	100210	1203638400	MDISIS 2008
10720	100211	1281312000	Evaluate 2010
2811	2440	1211760000	QDB 2008
7458	2897	1272585600	UIC 2010
41478	2822	1424390400	TAP 2015
6741	100212	1251417600	RAMS 2010
30749	100213	1372982400	ICNC 2014
40137	2239	1411603200	NSDI 2015
17486	100182	1311120000	MTEL 2011
38357	100214	1415318400	IEEE SAS  2015
30544	2683	1375228800	SIN 2013
6661	100215	1254268800	ITherm 2010
24760	100216	1348963200	Book CFC 2012
13832	100217	1295481600	ICFMS 2011
38428	100218	1409529600	ACSET 2014
34485	2353	1401408000	PG 2014
6448	100219	1252886400	WESOA 2009
39009	100220	1404172800	CUTECMIA 2014
18776	100221	1327968000	NLDB 2012
9780	100222	1288310400	WWW 2011
36638	100223	1395964800	KPDLTM 2014
25474	100224	1350432000	DUBAI,UAE 2012
33832	100225	1387065600	AMSITI 2014
9209	100226	1275177600	FGGSIR 2010
19232	100227	1319932800	EWG-DSS 2011
1857	100228	1196985600	EDBT 2008
19169	100229	1330732800	ACEC 2012
38648	100230	1411948800	VLSI-SATA 2015
31956	100231	1406851200	IJIT 2014
37078	100232	1400630400	ICMIE 2014
5949	100233	1260835200	SIMAHN-ADHOCNET 2009
16666	100234	1320969600	ACM SIGMETRICS 2012
2185	100235	1208217600	ICEMS 2008
41014	100236	1422748800	NVICT 2015
16886	100237	1308960000	BMLP 2011
17330	100238	1320105600	Neurocomputing  2012
34912	100239	1390176000	PPFpublicspace 2014
21970	100202	1331769600	VLSICS 2012
1286	2291	1176854400	PACT 2007
6551	3142	1255824000	WoT 2010
19925	100240	1329955200	PSOSM 2012
37521	100241	1401580800	EuroMedia 2014
7862	100242	1318550400	RadarCon 2012
21157	494	1335744000	CLEF 2012
39422	100213	1406419200	ICNC 2015
8398	100243	1270857600	WADGMM 2010
34473	100244	1365552000	CFP @tic N. 12 2014
7134	100245	1260921600	ICEE -  2010
4502	2242	1239753600	NSS 2009
36621	100246	1397347200	LINEARITY 2014
4909	1933	1240531200	LANC 2009
26702	100247	1339113600	SAJEP 2013
8466	100248	1266192000	CJSP 2010
9354	100249	1276819200	ICEC 2010
3868	100250	1225411200	UbiCC 2009
18540	100251	1326585600	EW 2012
3244	100252	1240790400	SSP 2009
22164	100253	1341014400	MDPI AG - Religions 2012
3507	628	1227139200	CVPR 2009
40555	1532	1421366400	IE 2015
9920	100254	1288483200	CISDA 2011
42198	100255	1424822400	ExProM 2015
33596	100256	1389744000	LHCC 2014
21015	1083	1333152000	FPL 2012
23567	100257	1344556800	CIIISI 2012
12412	100258	1297728000	The Solitary Being 2011
40463	2288	1425427200	PACIS 2015
42924	100259	1427068800	ACL-Demo 2015
17852	100260	1319155200	GDM 2012
34537	100261	1419897600	SRL 2014
18320	100262	1295049600	ACP 2012
16087	100263	1310256000	MMVE 2011
23166	100264	1336953600	MAS&S 2012
1719	100265	1192406400	WGISD 2008
28183	100266	1388448000	IJVD - RAOAVDMP 2014
1658	117	1202083200	AIPR 2008
7492	100267	1266192000	PRICAI Tutorials 2010
3694	2670	1226880000	SIGMETRICS 2009
25403	100268	1350259200	SAAIP  2012
15133	100269	1308528000	NNT 2011
22141	100270	1334793600	FCTA 2012
12874	100271	1293321600	ICFAS  2011
6570	79	1264118400	AFRIGRAPH 2010
29522	100272	1365984000	WECEN 2013
23840	100273	1339718400	EEEIJ 2012
13031	100274	1305417600	ITST 2011
40442	100275	1419033600	ICICS 2015
3154	100276	1216080000	BOBCATSSS 2009
7723	100277	1268956800	SBMicro 2010
12924	100278	1296259200	ICPESS  2011
25075	1421	1360886400	ICML 2013
39186	100206	1404691200	2014 2015
3718	100279	1224460800	ES 2009
22040	100280	1335744000	SDR-WInnComm 2013
7730	100281	1271376000	ISLC 2010
7513	100282	1260835200	CJNIS 2010
10214	100283	1277942400	Chemical Biology 2010
37972	100284	1404086400	TIME-E 2014
37997	100285	1402790400	Call for Chapters 2014
37247	100286	1398729600	REDIFIS 2014
26621	100287	1363305600	Wiley 2013
27072	100288	1355097600	IJDKP 2013
12224	755	1300147200	DRCN 2011
19311	100289	1334188800	DHSS  2012
15043	1079	1286496000	FoSSaCS 2011
19671	100290	1325289600	KRETA 2012
17000	100291	1310688000	ENT 2011
11648	100292	1296172800	ACL/HLT SS 2011
23722	100293	1340928000	MUSE 2012
30859	100294	1369612800	MuCoCoS 2013
41297	100295	1420588800	EGU/GI3.2/SM4.2 2015
9812	100296	1278028800	ASIT 2010
25197	100297	1346371200	IJGTT 2012
32303	100298	1388966400	Business, Law and Economics 2014
3230	100299	1214870400	BIONETICS 2008
30204	3073	1369958400	WILF 2013
33717	100300	1386374400	SCSN 2014
7771	1340	1269561600	ICDSC 2010
13256	100301	1306540800	GMX11 2011
36664	100302	1397433600	ESQUE @ QUATIC 2014
21269	100303	1335744000	HI-BI-BI 2012
14440	100185	1298592000	IJITCS 2011
21887	100304	1336089600	RW 2012
12302	100305	1289865600	MDCM 2011
11877	100306	1292371200	MobiWorld 2011
36299	100307	1404691200	T4E 2014
39007	100308	1410739200	Spinger SI: MM Cloud for Health 2014
8219	100309	1271376000	EVT/WOTE 2010
18200	100310	1317945600	Big Learning 2011
40310	100311	1420848000	BIOES 2015
30455	100312	1373846400	JEC-ECC 2013
29501	100313	1367280000	RVTTI-GTVET 2013
8292	2100	1269820800	MobiDE 2010
22306	100046	1333152000	IJSEA 2012
8545	100314	1273536000	SIGGRAPH Asia 2010
3769	100315	1224460800	ML 2009
22005	100316	1338163200	ARCOE 2012
23212	100317	1337040000	IJNGN 2012
21638	100318	1338336000	ICIIP 2012
20357	100319	1330300800	SALTMIL-AfLaT 2012
42423	100320	1422662400	FMIEE 2015
