67698	39442	2
40482	24576	2
12604	10949	2
62202	38341	2
7173	6973	2
6732	18797	2
13881	31699	2
66111	38557	2
17329	19400	2
32089	23597	2
320	8017	2
12050	39458	2
70660	41151	2
41453	8085	2
320	9544	2
13195	10501	2
13881	36174	2
14561	11170	2
5111	5835	2
40007	24306	2
31599	27827	2
13881	14853	2
13562	28365	2
47778	29091	2
5357	6012	2
10577	9148	2
48307	29320	2
51492	31039	2
34704	29546	2
16249	17396	2
9353	24698	2
25748	16760	2
11259	21068	2
44346	26755	2
13881	34548	2
48540	37866	2
39006	23753	2
38039	23230	2
2639	4250	2
43894	35982	2
16065	14176	2
53230	31830	2
46158	28000	2
21132	14520	2
68646	42978	2
61410	36145	2
8616	39602	2
31763	19351	2
48563	31929	2
10727	9257	2
48715	29553	2
69309	40434	2
39574	24064	2
69405	40481	2
13562	27614	2
14901	18604	2
8616	41537	2
38122	41444	2
45133	34498	2
20172	13994	2
1035	2999	2
46384	28140	2
9621	9365	2
38982	28163	2
22224	15482	2
73201	42655	2
1034	2998	2
18834	13360	2
47010	28567	2
72744	42296	2
39494	24024	2
7091	6931	2
29593	18366	2
14605	30101	2
320	17648	2
73145	42601	2
45392	27410	2
13032	15714	2
19251	33247	2
34792	21245	2
38982	24774	2
2492	9684	2
36327	37133	2
10562	9143	2
31533	38145	2
8297	7749	2
45220	34076	2
548	13820	2
71574	41623	2
43843	26457	2
43798	26399	2
1835	30397	2
65246	38781	2
52397	33727	2
26385	35534	2
7113	18183	2
62453	42525	2
44592	26909	2
43868	26462	2
36470	22326	2
50937	41092	2
18339	14109	2
11691	40505	2
64818	38023	2
2046	20111	2
11634	41997	2
27393	28610	2
24989	16407	2
64647	39160	2
30498	24290	2
42035	25841	2
41207	24981	2
45497	27475	2
21049	15570	2
73500	42894	2
44293	28053	2
46167	37690	2
46558	28464	2
33993	42657	2
14244	11153	2
4114	8862	2
9205	8266	2
4006	15354	2
43122	26010	2
11894	31629	2
64848	8123	2
31404	19128	2
8616	42553	2
13881	30759	2
18071	26069	2
18119	12511	2
54600	32427	2
22926	15398	2
13562	28757	2
6508	6679	2
18610	13344	2
9292	37498	2
34079	22119	2
43700	26325	2
31136	18934	2
61359	38361	2
320	33918	2
67653	39399	2
72349	42092	2
59639	35079	2
37164	22775	2
35849	43046	2
46989	28558	2
13881	36095	2
46167	34365	2
10829	9327	2
73075	42556	2
8297	7682	2
40855	43090	2
57128	34919	2
448	14552	2
42174	25591	2
61037	35915	2
11212	10142	2
10931	9941	2
320	29236	2
44202	40140	2
320	8330	2
1180	3288	2
14646	12250	2
2438	4109	2
8616	39807	2
320	3796	2
51436	36278	2
58106	34071	2
47163	28632	2
13881	40046	2
62453	36727	2
15499	12204	2
25955	16849	2
61131	35962	2
7395	9368	2
4450	34870	2
19930	14472	2
56394	42496	2
21605	19827	2
38982	27463	2
68996	40255	2
17708	12284	2
9310	12219	2
52207	38441	2
41812	26719	2
112	10010	2
69185	40378	2
693	2817	2
56822	33462	2
5337	5969	2
13562	27113	2
37049	22677	2
67649	39398	2
54774	32512	2
6897	9472	2
8438	7877	2
69925	41433	2
22107	14996	2
66082	38552	2
24435	27553	2
23235	15574	2
64900	38116	2
15110	11275	2
3705	7035	2
25538	16660	2
61348	36091	2
2693	4283	2
73301	42282	2
7873	33598	2
38982	27011	2
4937	5690	2
22535	15216	2
4838	5600	2
112	2811	2
7159	7458	2
71214	41478	2
548	30749	2
9119	40137	2
65797	38357	2
7995	30544	2
5592	6661	2
40827	24760	2
13881	13832	2
16152	38428	2
49955	34485	2
65665	39009	2
30726	18776	2
5183	9780	2
62375	36638	2
21873	25474	2
57632	33832	2
320	9209	2
25502	19232	2
51600	37493	2
31535	19169	2
66250	38648	2
13562	31956	2
62114	37078	2
2492	5949	2
25563	16666	2
70394	41014	2
320	16886	2
59389	34912	2
16152	37521	2
1423	7862	2
320	21157	2
67683	39422	2
